317.1875+0i	0.588363353952995-0.856896519038477i
317.96875+0i	0.588200168405964-0.849676642828468i
318.75+0i	0.588994506891552-0.843002457383233i
319.53125+0i	0.590344553335796-0.835396293087387i
320.3125+0i	0.591597712283366-0.826663006117858i
321.09375+0i	0.590575310129588-0.819334233647646i
321.875+0i	0.591260692915901-0.814068524647842i
322.65625+0i	0.592123863385788-0.806647112601142i
323.4375+0i	0.590662312733032-0.798127090418461i
324.21875+0i	0.591760427243493-0.791457047926327i
325+0i	0.592100343048305-0.784413186523792i
325.78125+0i	0.590287989177741-0.775133038961605i
326.5625+0i	0.592333334846945-0.769076236475798i
327.34375+0i	0.592727481961026-0.762534662395939i
328.125+0i	0.592226985323478-0.755207889979359i
328.90625+0i	0.593999204547563-0.747797261878117i
329.6875+0i	0.59252386257296-0.738943426871032i
330.46875+0i	0.592801939749709-0.732173633958644i
331.25+0i	0.593438092622893-0.724285479884574i
332.03125+0i	0.595985344137673-0.716844113564133i
332.8125+0i	0.594632870173553-0.708452214180074i
333.59375+0i	0.594177008978322-0.70227415781654i
334.375+0i	0.59498487374908-0.695495988501537i
335.15625+0i	0.594902717086432-0.687198048920585i
335.9375+0i	0.595111731114989-0.680076299982291i
336.71875+0i	0.595966307915006-0.674185638132213i
337.5+0i	0.59531271362516-0.666704905704878i
338.28125+0i	0.595672302117407-0.659413811408627i
339.0625+0i	0.595252112102723-0.652495905838865i
339.84375+0i	0.596817771507295-0.645210746637189i
340.625+0i	0.598259460562008-0.63799749713132i
341.40625+0i	0.598626025355315-0.631681410655829i
342.1875+0i	0.598091346205711-0.623580230105145i
342.96875+0i	0.598494123993487-0.61750370498823i
343.75+0i	0.597878312756949-0.610035772545889i
344.53125+0i	0.597724249487896-0.604637936432518i
345.3125+0i	0.598118412274508-0.596372015178887i
346.09375+0i	0.598869025939502-0.589726261715966i
346.875+0i	0.599151649773261-0.583049147085047i
347.65625+0i	0.600809732668017-0.575573465527403i
348.4375+0i	0.600102869999966-0.568931136394247i
349.21875+0i	0.600551185018926-0.562923983787781i
350+0i	0.600336764638695-0.555936578549608i
350.78125+0i	0.599956939819381-0.549569280504521i
351.5625+0i	0.60061832086594-0.542534049544937i
352.34375+0i	0.600165015159406-0.534866073648656i
353.125+0i	0.601190782502896-0.528467325114887i
353.90625+0i	0.602368691357389-0.522683385114849i
354.6875+0i	0.60212581443737-0.515672399128623i
355.46875+0i	0.602155955249254-0.507666748821265i
356.25+0i	0.601738784955274-0.500747183543868i
357.03125+0i	0.601873291725337-0.493770345227282i
357.8125+0i	0.601574937302989-0.488267792751496i
358.59375+0i	0.602040167311181-0.47951228603433i
359.375+0i	0.602976228324987-0.473846585726109i
360.15625+0i	0.602100627995781-0.466489807294787i
360.9375+0i	0.601671513940172-0.459830753835842i
361.71875+0i	0.602474323852575-0.453671214266514i
362.5+0i	0.603358438198404-0.444715488863703i
363.28125+0i	0.603999263624753-0.437807518013648i
364.0625+0i	0.604422048399611-0.427994068403002i
364.84375+0i	0.605370112589159-0.420442777763312i
365.625+0i	0.606641671763729-0.413973597857548i
366.40625+0i	0.608731145617129-0.406936060780969i
367.1875+0i	0.610345855300227-0.400715585944159i
367.96875+0i	0.612446355606125-0.393534104487823i
368.75+0i	0.612923429589878-0.387003673618243i
369.53125+0i	0.61396756522325-0.382931601427672i
370.3125+0i	0.613851761247865-0.376477386862761i
371.09375+0i	0.613808181196807-0.370491476302308i
